id,name
869,"Desh Bhagat Institute of Hotel Management and Catering Technology, Mandi Gobindgarh"
871,"Delhi Institute of Hotel Management and Catering Technology, New Delhi"
873,"University of Delhi, Delhi"
900,"Dr Harisingh Gour Vishwavidyalaya, Sagar"
905,"Deen Dayal Upadhyaya Gorakhpur University, Gorakhpur"
918,"Dr BR Ambedkar University, Srikakulam"
929,"Dr BR Ambedkar University, Agra"
931,"Dulari Institute of Pharmacy, Aligarh"
961,Dakshina Bharat Hindi Prachar Sabha Chennai
962,"Davangere University, Davangere"
36,"EVM College of Engineering and Technology, Guntur"
236,"Excel Institute of Management and Technology, Mathura"
237,"ESAR College of Engineering, Meerut"
648,"Entrepreneurship Development Institute of India, Gandhinagar"
663,"Era Business School, New Delhi"
684,"ESI Post Graduate Institute of Medical Sciences and Research, New Delhi"
984,"EIILM University, Jorethang"
985,"Eternal University, Sirmour"
1056,"English and Foreign Languages University, Hyderabad"
1425,"Engineering Staff College of India, Hyderabad"
1486,"Environmental Protection Training and Research Institute, Hyderabad"
1665,"Era University, Lucknow"
1675,"Express Institute of Media Studies, New Delhi"
1753,"Ecole Intuit Lab French Institute of Design and Visual Communication, Mumbai"
1805,"Engineers Combine Professional College, Gwalior"
1821,"Ekta Nursing School, Sabarkantha"
2005,"Excelsior Education Society KC College of Engineering, Thane"
2062,"Excel College of Architecture and Planning, Namakkal"
2208,"Eranad Knowledge City Technical Campus, Malappuram"
2266,"Government Engineering College, Bikaner"
2268,"Engineering College, Ajmer"
2433,"Educational Multimedia Research Centre, DAVV, Indore"
2913,"Elenki Engineering College, Siddipet"
3338,"Elenki Institute of Engineering and Technology, Medak"
4485,"Excel Engineering College, Namakkal"
4486,"Excel College of Technology, Namakkal"
4487,"Excel College of Engineering and Technology, Namakkal"
4488,"EVR College of Engineering and Technology, Nalgonda"
4489,"Everest College of Engineering and Technology, Aurangabad"
4491,"Eswar College of Engineering, Narasaraopet"
4492,"Eshan College of Engineering, Mathura"
4493,"Erode Sengunthar Engineering College, Thudupathi"
4494,"Builders Engineering College, Tirupur"
4495,"Er Perumal Manimekalai College of Engineering, Hosur"
4496,"ER and DCI Institute of Technology, Thiruvananthapuram"
4497,"Engineering College, Tuwa"
4498,"Eluru College of Engineering and Technology, Eluru"
4499,"Ellenki Engineering College for Women, Medak"
4500,"Ellenki College of Engineering and Technology, Hyderabad"
4501,"Eklavya College of Technology and Science, Bhubaneswar"
4502,"Ekalavya Institute of Technology, Chamarajanagar"
4503,"Einstein College of Engineering, Tirunelveli"
4504,"Einstein Academy of Technology and Management, Khordha"
4505,"Echelon Institute of Technology, Faridabad"
4506,"Easwari Engineering College, Chennai"
4507,"Eastern Academy of Science and Technology, Khordha"
4508,"East West Institute of Technology, Bangalore"
4510,"East Point College of Engineering and Technology, Bangalore"
4511,"EASA College of Engineering and Technology, Coimbatore"
4512,"ES Engineering College, Villupuram"
50,"Shillong Engineering and Management College, Jorabat"
452,"FORE School of Management, Delhi"
454,"Fortune Institute of International Business, Delhi"
455,"FOSTIIMA Business School, Delhi"
506,"FLAME University, Pune"
535,"Faculty of Management Studies, Institute of Rural Management, Jaipur"
631,"Fakir Mohan University, Balasore"
759,"Forest Research Institute, Dehradun"
1259,Footwear Design and Development Institute Noida
1289,"Food and Agri Business School, Hyderabad"
1524,"Florence College of Nursing, Dhamtari"
1730,"Frameboxx Animation and Visual Effects, Mumbai"
1746,"Film and Television Institute of India, Pune"
1770,"Frameboxx Animation and Visual Effects, Chandigarh"
1863,"Firebird Institute of Research in Management, Coimbatore"
1943,"School of Engineering and Technology, Manav Rachna International Institute of Research and Studies, Faridabad"
2076,"Flytech Aviation Academy, Ranga Reddy"
2132,"Faculty of Engineering and Technology, Jain University, Bangalore"
2414,"FIT Group of Institutions, Meerut"
2423,"Faculty of Architecture, Dr APJ Abdul Kalam Technical University, Lucknow"
2674,"Farah Institute of Technology, Chevella"
2676,"Farah Engineering College, Chevella"
4005,"Faculty of Engineering and Technology, Khaja Bandanawaz University, Kalaburagi"
4471,"Future Institute of Engineering and Management, Kolkata"
4472,"Future Institute of Engineering and Technology, Bareilly"
4473,"Francis Xavier Engineering College, Tirunelveli"
4474,"Fr Conceicao Rodrigues College of Engineering, Mumbai"
4475,"Fr C Rodrigues Institute of Technology, Navi Mumbai"
4476,"Focus Institute of Engineering and Management, Bareilly"
4477,"Flora Institute of Technology, Pune"
4478,"Finolex Academy of Management and Technology, Ratnagiri"
4479,"Ferozepur College of Engineering and Technology, Ferozepur"
4480,"Feroze Gandhi Institute of Engineering and Technology, Raebareli"
4481,"Federal Institute of Science and Technology, Ernakulam"
4482,"Fatima Michael College of Engineering and Technology, Madurai"
4484,"Fabtech Technical Campus, Solapur"
4598,"Faridabad College of Engineering and Management, Faridabad"
4714,"Chandigarh Engineering College, Jhanjeri"
4917,"Faculty of Engineering and Technology, Atmiya University, Rajkot"
5173,"Faculty of Engineering and Technology, Agra College, Agra"
5458,"Farook Institute of Management Studies, Kozhikode"
5500,"Faculty of Management Studies, University of Delhi, Delhi"
5526,"Faculty of Management Studies, MS Patel Institute of Management Studies, Vadodara"
5529,"School of Leadership and Management, Manav Rachna International Institute of Research and Studies, Faridabad"
5761,"Father Muller Institute of Medical Education and Research, Mangalore"
5774,"Faculty of Law, Banaras Hindu University, Varanasi"
5791,"Fergusson College, Pune"
5799,"Department of Computer Science, University of Delhi, Delhi"
5809,"School of Computer Applications, Manav Rachna International Institute of Research and Studies, Faridabad"
5925,"Farooqia Dental College and Hospital, Mysore"
8,"Galgotias University, Greater Noida"
96,"Guru Gobind Singh College of Engineering and Technology, Bathinda"
142,National Institute of Technology Raipur
221,"Guru Ghasidas Vishwavidyalaya, Bilaspur"
231,"Guru Jambheshwar University of Science and Technology, Hisar"
232,"Green Fort Engineering College, Hyderabad"
278,"Guru Nanak Dev University Regional Campus, Gurdaspur"
318,"Ganpat University, Mehsana"
347,"Graphic Era Hill University, Dehradun"
359,"Glocal School of Science and Technology, Saharanpur"
362,"Guru Gobind Singh Indraprastha University, Delhi"
365,"Guru Nanak Institute of Engineering and Technology, Ibrahimpatnam"
394,"Global Entrepreneurship and Management Academy, Patna"
444,"Great Lakes Institute of Management, Chennai"
456,"Global Entrepreneurship and Management Academy, Delhi"
468,"Goa Institute of Management, Goa"
496,"Graduate School of Business and Administration, Greater Noida"
530,"GNA University, Phagwara"
546,"Dr Gaur Hari Singhania Institute of Management and Research, Kanpur"
551,"GLA University, Mathura"
559,"Graphic Era University, Dehradun"
563,"Glocal School of Business and Commerce, Saharanpur"
611,"Guru Nanak College, Chennai"
635,"Guru Nanak Dev University, Amritsar"
647,"Globsyn Business School, Kolkata"
682,"Late Baliram Kashyap Memorial Government Medical College, Jagdalpur"
731,"Gandhigram Rural Institute, Dindigul"
740,"Gujarat Vidyapith, Ahmedabad"
741,"Gurukula Kangri Vishwavidyalaya, Haridwar"
760,"Govind Ballabh Pant University of Agriculture and Technology, Pantnagar"
767,"Guru Angad Dev Veterinary and Animal Sciences University, Ludhiana"
788,"GD Goenka University, Gurgaon"
794,"Gujarat National Law University, Gandhinagar"
822,"Government Law College, Thiruvananthapuram"
832,"Government Law College, Kozhikode"
840,"GITAM School of Technology, Hyderabad"
866,"Glocal University, Saharanpur"
893,"GITAM University, Visakhapatnam"
898,"Goa University,Taleigao Plateau, Goa"
903,"Gujarat University, Ahmedabad"
906,"Mahatma Gandhi University, Kottayam"
912,"Gauhati University, Guwahati"
913,"Gulbarga University, Gulbarga"
915,"Gujarat Technological University, Ahmedabad"
919,"Gate Institute of Technology and Management Sciences, Tirupati"
927,"Garden City University, Bangalore"
977,"Gautam Buddha University, Greater Noida"
978,"Geetanjali University, Udaipur"
986,"Gokhale Institute of Politics and Economics, Pune"
987,"Gondwana University, Gadchiroli"
9,"Himachal Pradesh Technical University, Hamirpur"
230,"Harcourt Butler Technical University, Kanpur"
346,"Hemvati Nandan Bahuguna Garhwal University, Pauri Garhwal"
348,"Himgiri Zee University, Dehradun"
374,"HL Agrawal College of Engineering, Itarsi"
436,"Heritage Institute of Technology Management Education Centre, Kolkata"
598,"Himachal Pradesh University, Shimla"
609,"Hidayatullah National Law University, Raipur"
655,"HDF School of Management, Cuttack"
867,"Hindustan Institute of Technology and Science, Chennai"
991,"Homi Bhabha National Institute, Mumbai"
992,"Homoeopathy University, Jaipur"
994,"Hemchandracharya North Gujarat University, Patan"
