College_Name,State,Stream,Degree,Fee,cluster
"Singhania University, Jhunjhunu ",27,3,1,-0.2753418959784689,1
Jaipur National University ,27,3,1,-0.006716024355387596,1
Manipal University ,27,3,1,0.7581215267936634,1
JECRC University ,27,3,1,0.2581789323840398,1
SunRise University ,27,3,1,-0.16266826649212093,1
"OPJS University, Churu ",27,3,1,-0.16639918137577484,1
"Banasthali Vidyapith, Jaipur ",27,3,1,0.3272008577316371,1
"Amity University, Jaipur ",27,3,1,0.2395243579657703,1
Suresh Gyan Vihar University ,27,3,1,0.09028776261961399,1
IIS (Deemed to be University) ,27,3,1,-0.061560473145100034,1
Madhav University ,27,3,1,-0.17087627923615953,1
"Jagannath University, Jaipur ",27,3,1,-0.006716024355387596,1
Indian Institute of Information Technology ,27,3,1,0.4295211984158455,1
"Tantia University, Sriganganagar ",27,3,1,-0.3201128745823158,1
"Pacific University, Udaipur ",27,3,1,-0.13356713039962045,1
"Swami Keshvanand Institute of Technology, Management and ",27,3,1,-0.0630528390985616,1
Maharana Pratap University of Agriculture and Technology ,27,3,1,-0.10446599430711997,1
"Poornima College of Engineering, Jaipur ",27,3,1,0.20221520912923122,1
"Shridhar University, Pilani ",27,3,1,-0.061560473145100034,1
"Jaipur Engineering College and Research Centre, Jaipur ",27,3,1,-0.08879615179577356,1
Birla Institute of Technology ,27,3,1,3.8846281992956375,1
Institute of Advanced Studies in Education ,27,3,1,-0.1358056793298128,1
National Institute of Technology ,12,3,1,-0.220437752550618,2
Panjab University ,12,3,1,-0.07275321779606175,2
Punjab Engineering College University of Technology ,12,3,1,-0.0710743060984175,2
National Institute of Food Technology Entrepreneurship and ,12,3,1,0.20799812719889477,2
"University Institute of Engineering, Chandigarh University ",12,3,1,0.16490606029269214,2
"School of Engineering and Technology, NCU ",12,3,1,0.5379975486580829,2
"J.C. Bose University Of Science And Technology, ",12,3,1,-0.12004256394637502,2
Manav Rachna International Institute Of Research And ,12,3,1,0.24512073029125114,2
Manav Rachna International Institute of Research and ,12,3,1,0.24512073029125114,2
"Gurugram University, Gurgaon ",12,3,1,-0.2828037257457767,2
"PDM University, Bahadurgarh, Bahadurgarh ",12,3,1,-0.05820264974981152,2
"Amity University, Gurgaon ",12,3,1,0.42607010214846563,2
National Institute of Technical Teachers Training and ,12,3,1,-0.265283349452138,2
"IILM University, Gurgaon ",12,3,1,0.7991615905138564,2
