,Colleges,Program,Gender,Seat Type,Quota
190,,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
191,,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
192,,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,,
193,,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
194,,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
195,,"Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",,,
196,,"Mineral Engineering (4 Years, Bachelor of Technology)",,,
197,,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",,,
198,,"Mining Engineering (4 Years, Bachelor of Technology)",,,
199,,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
200,,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",,,
201,,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
202,,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",,,
203,,"Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
204,,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",,,
205,,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
206,,"Petroleum Engineering (4 Years, Bachelor of Technology)",,,
207,,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",,,
208,,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
209,,"Physics (4 Years, Bachelor of Science)",,,
210,,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
211,,"Physics (5 Years, Integrated Master of Science)",,,
212,,"Physics with Specialization (4 Years, Bachelor of Science)",,,
213,,"Planning (4 Years, Bachelor of Planning)",,,
214,,"Polymer Science and Engineering (4 Years, Bachelor of Technology)",,,
215,,"Production Engineering (4 Years, Bachelor of Technology)",,,
216,,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",,,
217,,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
218,,"Quantitative Economics & Data Science (5 Years, Integrated Master of Science)",,,
219,,"Smart Manufacturing (4 Years, Bachelor of Technology)",,,
220,,"Statistics and Data Science (4 Years, Bachelor of Science)",,,
221,,"Textile Technology (4 Years, Bachelor of Technology)",,,
